,0
124,906.6479449340437
125,974.2626381945306
126,951.5539723239177
127,816.3495780573351
128,850.2501502511293
129,1503.946296497805
130,1389.7385602737127
131,972.5634567538792
132,710.7367503146481
133,900.9366080485097
134,1079.423024719747
135,1475.2759718132309
136,1681.8808098451302
137,2030.959424124781
138,2664.148588472463
139,3126.136662788993
140,3848.4674074728778
141,3718.357101316056
142,3630.5320152455593
143,4682.176894215746
144,5030.921315817754
145,4904.913426007352
146,5528.294443867303
147,6018.582275477553
148,6562.393546740695
149,6850.1133500775695
150,6381.4433269651245
151,6495.2472547175375
152,6398.560363779624
153,6975.403115798992
154,5963.8477790722545
155,5751.11157452725
156,5225.599641145572
157,4822.690491238978
158,4891.396932806971
159,5944.177553825644
160,6432.894099207324
161,6589.348453467781
162,6757.109767515087
163,6434.867888227413
164,6663.073868133874
165,6289.2622000170195
166,6232.5938530436415
167,6824.491773209801
168,7160.773769525562
169,7297.7502789905375
170,7248.000915525735
171,6997.968725206703
172,6981.183131461035
173,7379.29727081963
174,7315.177914074109
175,6985.930461641717
176,6779.466944286151
177,6662.254331098686
178,6244.917691901424
179,7186.0890491883165
180,8132.492758433632
181,9983.980591802756
182,10130.154942125959
183,11414.18168873978
184,11904.387800132845
185,12175.80067207136
186,11972.259021142763
187,12156.489401342636
188,11152.721724816578
189,10046.857632276704
190,8273.727689982945
191,7407.383464921711
192,6345.935354965581
193,6036.8635949727795
194,5403.80017530515
195,3830.462677118744
196,3009.0073212739644
197,2923.179418939865
198,2264.6867414118256
199,1877.9729410130624
200,1601.3080704699264
201,1966.6312660799772
202,1445.3276781081945
203,1425.8614154637955
204,1082.4289923100778
205,1528.640563953734
206,2142.124602992127
207,2860.954650191912
208,3594.6759335539423
209,4402.082554881571
210,4962.9510320859135
211,4855.058133479073
212,5048.7446027122305
213,5282.077251288727
214,6242.933933629279
215,6739.182686728222
216,7204.8630248499985
217,7636.4163397551
218,7465.723988797808
219,7916.761569372597
220,7927.590020421569
221,7123.7522530824845
222,6943.84090924834
223,6424.740403093997
224,6358.569300542258
225,6785.7458833794235
226,6700.071068204056
227,7179.900140582434
228,7422.378064869939
229,7256.410463506997
230,7624.676570036035
231,7921.989313048094
232,8531.080214531341
233,8341.71460961614
234,8116.449897007757
235,8119.653682823066
236,8176.684870632928
237,7223.4202268829395
238,6166.226959911408
239,5430.73758591807
240,4702.938821687034
241,4258.985385480814
242,3515.589565113962
243,2893.4967313016205
244,2130.5756776298863
245,1445.6149431047288
246,1617.269288483334
247,1355.329663751524
248,1200.5722789559145
249,1509.965589570202
250,1045.3024684601078
251,693.4136157268483
252,443.0105507980993
253,422.08453773283304
254,614.6070775869524
255,932.2973097478416
256,799.1753217298639
257,1053.395504209212
258,1146.1860919349494
259,1155.7518273799378
260,883.7335499527642
261,793.6901593702357
262,522.4535235316747
263,591.6042957391918
264,453.67424037159765
265,406.84434702664527
266,335.07160008390457
267,339.70161874228364
268,584.0095689835941
269,479.6407011333905
270,410.2792843134209
271,375.8541051915674
272,289.92356103580966
273,596.4896132715562
274,646.8368860847928
275,823.3198978376846
276,492.42046814272425
277,428.8252728579126
278,430.9590000173466
279,854.4730885569522
280,969.5457380420925
281,1307.4044276383847
282,1612.547349941566
283,1575.693237056172
284,1349.3972214513
285,1246.155846823149
286,1119.372828464
287,963.6980113429537
288,1072.4837494053616
289,1305.904400824762
290,1391.5969732503283
291,1441.6294388960891
292,1407.0764260059266
293,1294.881464875458
294,1541.4929728628922
295,1345.5440517672926
296,1052.3826804272496
297,1232.015161700723
298,868.6937581099946
299,812.7312464711307
300,533.170761352749
301,729.0411112244957
302,953.8584517266258
303,978.7609214050577
304,949.9079858291514
305,1403.325544841887
306,1842.637579930905
307,1821.553456678519
308,1673.069404231959
309,1581.1422858386193
310,1630.747410047902
311,1706.654754512814
312,1884.9603882449453
313,1971.5323439399408
314,2131.0941709026
315,2092.5908918072228
316,1624.172066196962
317,1120.5707362491305
318,778.0285411906558
319,755.069138646152
320,723.909327360417
321,1147.345090451259
322,888.9045656654685
323,648.058634053583
324,722.1812827077188
325,873.2163116105879
326,556.3445258579302
327,480.63688901399763
328,835.5551962195569
329,1540.1611330150495
330,1667.1430755870806
331,2041.212054861466
332,3260.260168934827
333,3724.8282058072573
334,4011.505676990513
335,4282.733188428885
336,4621.848664305133
337,5622.319129760069
338,6178.898063609396
339,6980.645744228335
340,7429.364144977891
341,7632.507194794509
342,7129.664265328412
343,8581.277687427664
344,8094.325223471147
345,7299.909351706054
346,6715.977309402181
347,7423.379383305536
348,7638.002526098457
349,8668.964985838735
350,10654.577815365175
351,11131.299338236635
352,11472.920368260502
353,11892.92927392063
354,11167.3678464101
355,10543.666967632398
356,10345.358513514091
357,9436.080867290457
358,9011.88455318585
359,8540.506580139767
360,8386.844937496864
361,8050.865674647321
362,8011.377252189409
363,7956.8296677395065
364,7079.702644352135
365,6098.196323034206
366,5962.1643272373185
367,5741.883718386242
368,5514.303681549336
369,5665.669907745949
370,5159.19056686364
371,5597.351053493741
372,6037.30709612138
373,7172.1833864950095
374,8161.074312228147
375,9241.520544727378
376,9279.375868521767
377,8776.999251204741
378,9144.650489904185
379,9401.85541115053
380,9191.443532346688
381,8588.048775776271
382,8262.862126895492
383,8500.25505675154
384,8633.817181871582
