,jeju_solar,jeju_wind,land_solar,land_wind
5521,0.018575361,6.868022649,1.181976182,135.133565
5522,0.002653623,4.51189028,0.685919765,64.29808132
5523,0,11.68400918,0.565147412,98.02565857
5524,0,9.515069294,3.611199127,127.1639544
5525,0.065472618,25.18578697,4.145820565,129.1230123
5526,14.45864615,26.26167623,223.8834664,239.1363047
5527,60.10919005,31.50443063,1175.405071,247.9989084
5528,133.5487887,36.03091005,2592.204669,173.1168915
5529,223.0351909,18.86256473,4102.389237,387.1529544
5530,295.4597484,6.949260036,3795.684191,872.0113532
5531,331.2137989,7.519643633,3997.995087,1031.941566
5532,341.9725898,10.97186793,4014.924533,1022.869316
5533,396.8364877,27.95345654,4039.498403,1579.484471
5534,293.8477194,25.06916767,3967.405407,1663.346603
5535,211.4835417,13.93027059,3544.467639,1769.921349
5536,165.4180956,15.27181472,2839.64427,1553.412527
5537,78.70105298,13.87786045,2020.3832,1270.329271
5538,32.60353947,9.540177381,1534.498877,1196.157436
5539,15.13270508,5.296235814,1307.549392,1070.383371
5540,9.793018623,4.726796381,1150.282185,1064.381159
5541,4.369411338,4.602021564,719.0821293,1032.994175
5542,2.537637523,2.396758628,284.3038959,1174.275005
5543,0.055726082,8.05171296,81.28957162,1389.199191
5544,0.018575361,8.265323863,20.74443426,1217.102528
5545,0.018575361,11.54183694,6.744846576,798.6150928
5546,0.015921738,23.39085984,7.608770229,1062.080674
5547,0.005307246,41.53670776,5.792306754,1505.672098
5548,0,59.48202991,3.422542881,1755.115826
5549,0.039422886,57.67989446,3.388762711,2072.134954
5550,7.504650279,56.91392379,182.9852905,2260.165156
5551,59.57248099,93.14960532,1147.332726,2352.342965
5552,125.8285039,95.13949915,2664.842747,2126.766471
5553,198.9379753,108.4753947,3930.973204,2001.122973
5554,236.8337511,136.7081541,3631.850497,1918.417183
5555,257.0472292,135.9619383,3859.654177,1266.781646
5556,234.6819089,68.71069089,3751.732376,758.2993914
5557,257.414709,36.69311656,3488.05977,1281.000349
5558,229.4580807,42.50894482,3297.086073,1377.994367
5559,146.891274,64.76516243,3016.357079,1217.208933
5560,87.47776995,100.5203677,2529.370653,914.1880482
5561,65.21849505,76.66316381,1777.865024,931.1098167
5562,24.74710171,90.24639082,1400.145066,903.3119321
5563,11.13564127,72.02162053,1232.059942,878.3849464
5564,4.610492984,32.28219729,1086.542034,958.0156298
5565,2.330654932,1.797326878,668.8470994,1184.782182
5566,0.19305107,2.256438405,221.6815052,1402.352798
5567,0.058379705,9.463442927,51.30419505,1561.287729
5568,0,16.91527324,14.97495043,1089.628989
5569,0,6.192080381,3.931939635,872.3350543
5570,0,6.269356518,2.118537468,749.5615032
5571,0,12.32499319,2.203084337,769.5318352
5572,0,14.25735964,3.661474275,677.1731972
5573,0.035497735,10.49285634,2.449056118,773.3535457
5574,9.004981059,14.42787796,154.4309916,626.2762484
5575,64.30450714,12.83533163,823.6690456,466.7786456
5576,91.60489998,43.72117187,1772.533948,303.5801921
5577,98.00316087,63.26967428,2722.7062,224.3598148
5578,108.6247346,86.78068799,2638.886908,236.3284011
5579,171.4265614,117.6538395,2969.632496,152.8095558
5580,229.6677529,152.27492,3002.094098,136.3434082
5581,233.6441626,181.0891539,2897.625658,830.8835648
5582,213.1669614,233.9221496,2611.965157,895.634502
5583,230.0666587,188.9698099,2026.39081,629.4273155
5584,127.0882451,187.6615082,1651.15708,260.4907038
5585,74.61622612,175.0676494,1264.467305,164.5830888
5586,42.55814162,150.6384035,1249.668489,192.5346904
5587,15.18985196,191.4708229,1129.22989,350.2891334
5588,9.815441738,165.6061371,891.8632822,589.8102451
5589,3.485290508,177.6558886,360.5855837,836.2943494
5590,1.872352133,259.6660218,115.0803102,1070.971864
5591,0.050418836,245.9116471,29.4105879,1150.447832
5592,0.018575361,282.1351906,8.032973008,1178.86722
5593,0.018575361,448.0806667,1.292009067,1225.960339
5594,0.018575361,366.2073373,0.61284658,1087.342497
5595,0.002653623,419.3124669,0.200279263,1222.463174
5596,0,390.8141252,3.040401984,901.0498182
5597,0.034447343,338.2254378,0.367938791,909.8886738
5598,1.815224606,309.5681257,47.67529384,1911.250074
5599,18.64294794,190.988065,341.9421311,2679.751159
5600,68.29511933,132.7519917,813.7624305,1509.340153
5601,144.7531422,86.36688117,1715.547613,1044.958445
5602,252.8327895,106.2868998,2050.063526,1062.076449
5603,324.2662381,84.01534252,2473.146817,935.4322632
5604,315.4868288,108.259378,2851.188903,639.2432192
5605,231.2216094,87.48405941,3333.523755,1285.682902
5606,261.8074446,61.910533,3517.177661,1503.529139
5607,276.4417163,14.9364824,3316.05581,1759.947795
5608,200.1571381,21.03417974,2968.598415,1983.062145
5609,108.3695611,9.287876965,1823.299044,1869.945051
5610,35.19536066,6.961933613,1297.944197,1627.185684
5611,15.42317452,27.96521016,1086.869513,1653.052805
5612,10.48134631,46.69775875,909.3686343,1853.399641
5613,4.025534973,43.79123968,508.5963395,1927.056961
5614,1.393704892,39.61531419,163.1851268,2471.887876
5615,0,32.67680309,48.0247279,2452.233595
5616,0,21.17395223,5.532767527,2239.863043
5617,0,19.54419316,0.890081663,2689.411533
5618,0,26.16748685,1.155208399,2895.325943
5619,0,33.88970194,1.434994572,2345.588359
5620,0,26.0491033,4.003059057,2279.007103
5621,0.039566624,17.06091043,0.811374302,2352.216959
5622,10.13185311,9.653719074,89.1469145,2522.957912
5623,48.41632113,4.376339292,637.4766238,2314.49337
5624,145.6289788,7.220815937,1456.447454,2020.713322
5625,234.6804909,12.45200132,2412.531777,1786.282612
5626,315.8219952,19.2928823,2578.889377,1720.063905
5627,278.4173165,41.09607399,3019.931484,1861.642231
5628,302.1978222,54.01914019,3425.143214,1991.171786
5629,280.0682072,75.69192235,3656.943821,2767.942373
5630,265.7921359,72.05145852,3586.09987,2738.315108
