,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,sum
2019-01-11,239.2620711,306.5837525,262.9497311,200.0451001,227.6201831,249.8685297,298.2760139,370.6224629,400.2569145,342.6825182,243.2926832,87.38405073,65.87934477,21.19515051,8.082265117,8.106047745,22.50426324,10.57700187,36.59235436,41.58449695,31.91813456,4.353282944,0.191111369,0.63173303,3480.459198
2019-01-12,0.626733807,1.301311275,13.2918225,45.68137903,70.25575064,86.27264943,110.8913211,134.6014655,175.9733683,246.3812533,265.0086397,198.885268,335.0994311,315.840121,356.106572,330.7763523,300.2768897,249.8732081,290.0990964,282.7733815,289.2917157,200.9593165,174.5997075,229.467242,4704.333996
2019-01-13,190.314698,170.0773195,143.1206845,128.290245,139.3081046,152.5539717,166.7933075,200.4450077,294.6864592,306.9530898,249.0584012,181.5107985,230.900258,310.5985831,408.1097177,484.6154725,437.1459389,380.6607591,380.8787701,407.1521091,428.9715453,367.0809214,256.1208822,318.2561715,6733.603216
2019-01-14,342.2516771,292.0558991,305.4401558,315.5316974,287.3589771,257.638767,281.2661064,244.4686538,282.1972421,197.8998581,208.4269252,230.3695595,220.1033901,247.1913667,173.9123536,164.3333293,159.9141395,126.8912703,172.6824568,238.9909056,218.7346983,169.1484655,119.556144,134.7702286,5391.134267
2019-01-15,148.5906676,203.9054964,233.7587367,271.7316606,280.4995487,366.4999825,317.3303376,283.949691,258.108001,251.7776461,311.0367203,399.8058919,351.0772893,460.6306038,526.7387781,575.2574587,602.4810225,521.6259036,547.1395483,646.6406796,626.6119279,624.3503964,609.2596765,652.5860822,10071.39375
2019-01-16,655.4405361,649.8002344,579.8995074,571.3317637,554.3519697,502.5513591,453.4923447,513.0826084,544.5034049,493.7639523,457.730476,470.4185605,407.6029683,477.7563862,541.8690621,518.7308537,481.3384057,481.6225323,467.415761,431.0783973,343.3179462,356.7059856,312.012731,265.4561973,11531.27394
2019-01-17,316.3321239,249.9554926,291.9968466,356.5218647,294.5761707,297.3333909,270.4881642,290.1793563,273.3657047,288.3423322,284.7651031,316.8808916,377.987406,437.3088495,438.928946,470.6870419,538.7785492,490.1521583,498.82724,550.9504457,462.3694803,391.4414219,374.2769833,402.3711989,8964.817163
2019-01-18,377.3861767,276.3299751,309.1137622,279.8488991,178.4257236,91.86219019,94.86569784,125.5546346,142.7615151,158.9789427,78.90482545,54.8383653,50.21373223,56.68638951,54.2458907,37.69592696,32.40022073,27.29391003,36.83475014,27.63909856,41.14202933,27.3539915,19.26605232,7.855251332,2587.497951
2019-01-19,6.993417829,3.613524918,0.073584217,0,6.655834044,28.61572962,18.21673582,26.78563241,25.14241901,57.41529571,25.54513493,18.04241361,13.34224445,14.1774356,41.48941183,96.62778503,100.4620354,124.7222033,167.5543456,180.1573313,150.8237561,240.2075599,252.2467167,235.3497276,1834.260275
2019-01-20,240.1152135,346.5014834,415.9190288,486.6185483,488.6216181,560.9704124,572.9846306,572.8360247,520.2856517,539.1595343,633.0781515,670.1176701,677.0527919,675.0199205,654.759649,632.0905355,605.2181218,588.6375635,600.623127,610.2934022,632.1216657,624.698369,591.1993843,571.2942242,13510.21672
2019-01-21,579.2069333,573.9975091,567.4344209,537.1563011,508.3770133,562.8547566,495.7745632,384.8765452,322.5558701,428.3900617,453.846639,445.0993379,449.2858216,499.8019857,518.2249759,492.3145465,453.7102648,406.2978773,359.9214186,350.2448429,350.4177004,311.4437273,257.6826161,272.6215739,10581.5373
2019-01-22,329.8225355,345.8041431,359.5378583,313.9068709,228.5795923,199.2107048,227.6190483,191.8927429,170.6143003,177.0314274,190.0450516,199.5637462,233.7189184,225.7936871,207.2176729,266.6725702,334.9397222,308.4856424,256.2027188,266.2319001,253.3513878,310.4281738,277.1649938,242.7671474,6116.602556
2019-01-23,215.4060928,153.3410166,165.6508275,196.4670085,165.1028466,171.5780459,157.5371357,222.7340471,222.9225317,202.1656546,312.8492113,266.6333723,260.1490703,300.8365879,353.0050136,399.414972,418.7930681,404.7002773,375.3076253,364.4705367,332.3387701,331.7609361,363.0008497,371.3750337,6727.540532
2019-01-24,377.1826218,375.7424337,402.6344449,431.5127911,467.1383676,496.4521911,515.2384843,512.7384699,478.7504691,412.7499295,422.0904072,409.0721954,312.6285131,211.8827385,132.1860869,148.7010772,248.8135603,160.6963274,222.3191115,278.7305104,230.2812863,163.2310701,164.4574626,239.6808832,7814.911433
2019-01-25,171.6868668,218.1125794,216.3192955,205.7645571,203.1851846,156.9666069,197.871742,190.2777878,212.3867493,158.9286025,210.6011821,322.5848002,405.9364686,408.9353462,459.9914991,458.9061107,566.4147033,684.8289121,688.2101637,664.0399061,646.0970836,625.1222258,604.725326,605.1559916,9283.049691
2019-01-26,608.7771303,620.7357791,621.9979741,590.9696863,597.1295168,619.2696629,623.9081588,604.3165941,647.8263732,656.1852903,646.0068827,632.4282766,619.3676531,630.4887654,645.9939852,649.9088162,632.16415,617.7162025,621.470205,546.4618751,530.8417912,477.8053919,417.9546783,422.4079245,14282.13276
2019-01-27,440.5716661,388.317031,387.3489671,338.4512926,338.6699148,264.8767715,228.2579806,217.8343417,244.4540495,245.7313391,219.8444049,134.6546776,178.7944376,168.2428192,161.9604259,128.8556263,139.1347054,164.4314315,107.3968394,100.0477171,150.0825455,178.2698035,188.5246248,142.5455166,5257.29893
2019-01-28,130.9280225,88.91423385,90.38356989,137.0287672,156.9820312,164.2825866,173.997183,209.1285566,244.7372138,287.7147753,308.9028355,396.2990605,416.7917081,489.5233274,529.458147,561.1041356,589.2339146,633.3322586,619.6022414,569.5902242,532.837465,563.2705698,503.7711939,428.3361869,8826.150208
2019-01-29,373.1397144,305.8717747,362.8087487,335.8034622,347.2021585,390.0624108,297.0443922,250.3012954,134.7169893,69.91120667,31.40247915,22.68025891,12.73287781,10.41087755,22.20631918,12.15997644,10.2935592,17.27316259,15.06499151,14.82054701,14.50462754,23.78235778,16.3872166,23.76798652,3114.349391
